Indicatif,HeureStart,HeureStop,TempsAttentePiste,TempsArretTotal
4033,73579,74829,60,0
4036,73991,74958,0,0
4035,73918,75137,75,0
4038,74365,75333,0,0
4037,74248,75452,30,0
4040,74735,75752,60,0
4039,74578,75871,85,0
4042,75110,76033,0,0
4041,74902,76212,138,0
4043,75238,76495,44,0
4044,75475,76614,179,0
4045,75563,76764,0,0
4046,75842,76943,148,0
4047,75877,77082,0,0
4048,76651,77602,0,0
4049,76768,78036,60,0
4050,77464,78402,0,0
4051,77647,78776,60,0
4052,78274,79182,0,0
4053,78528,79723,0,0
4054,79078,80045,0,0
4055,79401,80661,60,0
4056,79890,80858,0,0
4057,80750,81992,60,0
4058,81264,82234,0,0
4059,82132,83325,0,0
4060,82648,83619,0,0
4061,83479,84663,0,0
4062,84021,84952,0,0
4063,85695,493,0,0
4064,86163,730,0,0
4065,1517,2727,0,0
4066,1905,2846,65,0
4067,5148,6298,0,0
4068,5558,6522,0,0
4069,12168,13436,60,0
4070,12612,13615,94,0
4071,13740,14952,0,0
4072,14296,15267,0,0
4073,15318,16530,0,0
4074,15985,16869,0,0
4075,17168,18371,0,0
4076,17908,18839,0,0
4077,19022,20233,0,0
4079,19846,20788,0,0
4078,19610,20907,113,0
4080,20227,21377,0,0
4081,20431,21496,118,0
4083,21018,21987,0,0
4082,20820,22166,139,0
4085,21597,22622,60,0
4084,21443,22741,88,0
4087,22174,23111,0,0
4086,22049,23233,0,0
4088,22546,23533,60,0
4089,22603,23846,60,0
4090,22919,23965,96,0
4092,23293,24251,0,0
4091,23170,24370,30,0
4093,23670,24641,0,0
4094,23723,24916,0,0
4095,24043,25035,31,0
4097,24416,25378,0,0
4096,24273,25497,52,0
4098,24798,25752,0,0
4099,24833,25996,0,0
4100,25174,26205,60,0
4102,25547,26570,60,0
4101,25391,26749,146,0
